TS,VEJNAVN,beskrivelse,ÅR,KATEGORI,taelling_type,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader,KØRETØJER ÅDT,KØRETØJER HDT,CYK+KNALL ÅDT,CYK+KNALL HDT,FODGÆNGERE ÅDT,FODGÆNGERE HDT,LADCYKLER %,TUNG TRAFIK %
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,LASTBILER,Andre faste tællinger,118,132,150,121,104,86,102,101,38,29,20,15,1016,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,PERSONBILER + MC,Andre faste tællinger,3409,3131,2290,1992,1971,2277,2268,2919,3392,3458,3335,2785,33227,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2016,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,776,611,760,783,734,737,749,763,753,425,388,313,7792,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,A: LET TRAFIK I ALT,Andre faste tællinger,3935,3725,3023,2620,2790,2861,2933,3561,3770,3847,3480,2786,39331,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,B: TUNG TRAFIK I ALT,Andre faste tællinger,162,183,184,168,144,163,154,145,103,88,81,65,1640,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,BUSSER,Andre faste tællinger,66,66,70,62,58,59,58,66,64,70,68,60,767,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,CYK+KNALL,Andre faste tællinger,1430,2488,1137,663,706,773,672,954,1592,2391,1766,1108,15680,12.565491397230991,55.677960848602766,0,0,16200,19100,0,0,0.030994897959183674,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,CYKLER + KNALLERTER,Andre faste tællinger,1388,2415,1094,642,678,741,647,915,1533,2332,1732,1077,15194,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,KØRETØJER ,Andre faste tællinger,4097,3908,3207,2788,2934,3024,3087,3706,3873,3935,3561,2851,40971,12.565491397230991,55.677960848602766,47900,53700,0,0,0,0,,0.04002831270898929
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,LADCYKLER,Andre faste tællinger,42,73,43,21,28,32,25,39,59,59,34,31,486,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,LASTBILER,Andre faste tællinger,96,117,114,106,86,104,96,79,39,18,13,5,873,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,PERSONBILER + MC,Andre faste tællinger,3245,3125,2427,1894,2071,2150,2233,2882,3222,3510,3163,2521,32443,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2022,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,690,600,596,726,719,711,700,679,548,337,317,265,6888,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2013,A: LET TRAFIK I ALT,Andre faste tællinger,919,967,822,769,758,827,764,815,961,1064,1087,777,10530,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2013,B: TUNG TRAFIK I ALT,Andre faste tællinger,68,67,63,69,61,53,58,43,34,27,23,19,585,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2013,BUSSER,Andre faste tællinger,31,32,36,39,30,29,33,29,28,25,21,19,352,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2013,CYK+KNALL,Andre faste tællinger,622,1003,452,223,200,232,289,341,596,897,717,385,5957,12.587600106423729,55.681163602385205,0,0,6100,7300,0,0,0.018129931173409435,
3,Bredgade,nord for Kongens Nytorv,2013,CYKLER + KNALLERTER,Andre faste tællinger,613,985,442,219,191,227,285,331,580,881,710,385,5849,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2013,KØRETØJER ,Andre faste tællinger,987,1034,885,838,819,880,822,858,995,1091,1110,796,11115,12.587600106423729,55.681163602385205,13000,14600,0,0,0,0,,0.05263157894736842
3,Bredgade,nord for Kongens Nytorv,2013,LADCYKLER,Andre faste tællinger,9,18,10,4,9,5,4,10,16,16,7,0,108,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2013,LASTBILER,Andre faste tællinger,37,35,27,30,31,24,25,14,6,2,2,0,233,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
