TS,vejnavn,beskrivelse,taelling_type,KATEGORI,ÅR,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2013,237.0,207.0,197.0,235.0,202.0,207.0,182.0,156.0,134.0,109.0,94.0,72.0,2032.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,A: LET TRAFIK I ALT,2014,919.0,922.0,818.0,806.0,693.0,790.0,791.0,837.0,975.0,974.0,932.0,764.0,10221.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,B: TUNG TRAFIK I ALT,2014,55.0,51.0,60.0,61.0,49.0,44.0,38.0,37.0,29.0,27.0,22.0,19.0,492.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYK+KNALL,2014,477.0,765.0,299.0,128.0,125.0,193.0,185.0,254.0,440.0,644.0,499.0,308.0,4317.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYKLER + KNALLERTER,2014,464.0,750.0,291.0,124.0,123.0,190.0,177.0,249.0,417.0,634.0,488.0,307.0,4214.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,KØRETØJER ,2014,974.0,973.0,878.0,867.0,742.0,834.0,829.0,874.0,1004.0,1001.0,954.0,783.0,10713.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LADCYKLER,2014,13.0,15.0,8.0,4.0,2.0,3.0,8.0,5.0,23.0,10.0,11.0,1.0,103.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LASTBILER,2014,10.0,9.0,7.0,11.0,4.0,8.0,6.0,7.0,2.0,1.0,0.0,0.0,65.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,PERSONBILER + MC,2014,672.0,731.0,595.0,573.0,472.0,607.0,615.0,685.0,855.0,878.0,843.0,690.0,8216.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2014,247.0,191.0,223.0,233.0,221.0,183.0,176.0,152.0,120.0,96.0,89.0,74.0,2005.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,A: LET TRAFIK I ALT,2016,659.0,732.0,737.0,767.0,715.0,835.0,670.0,790.0,894.0,931.0,869.0,752.0,9351.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,B: TUNG TRAFIK I ALT,2016,46.0,41.0,47.0,40.0,51.0,32.0,62.0,54.0,50.0,26.0,21.0,23.0,493.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYK+KNALL,2016,391.0,760.0,244.0,247.0,222.0,239.0,290.0,301.0,484.0,704.0,567.0,337.0,4786.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYKLER + KNALLERTER,2016,385.0,743.0,240.0,246.0,217.0,229.0,277.0,295.0,470.0,694.0,556.0,329.0,4681.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,KØRETØJER ,2016,705.0,773.0,784.0,807.0,766.0,867.0,732.0,844.0,944.0,957.0,890.0,775.0,9844.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LADCYKLER,2016,6.0,17.0,4.0,1.0,5.0,10.0,13.0,6.0,14.0,10.0,11.0,8.0,105.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LASTBILER,2016,6.0,10.0,10.0,3.0,7.0,4.0,9.0,3.0,12.0,3.0,1.0,3.0,71.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,PERSONBILER + MC,2016,460.0,573.0,522.0,516.0,511.0,663.0,587.0,697.0,792.0,843.0,787.0,680.0,7631.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2016,199.0,159.0,215.0,251.0,204.0,172.0,83.0,93.0,102.0,88.0,82.0,72.0,1720.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,A: LET TRAFIK I ALT,2018,881.0,837.0,750.0,728.0,701.0,688.0,692.0,775.0,862.0,1017.0,904.0,652.0,9487.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,B: TUNG TRAFIK I ALT,2018,51.0,40.0,51.0,42.0,41.0,50.0,33.0,29.0,31.0,31.0,29.0,31.0,459.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYK+KNALL,2018,667.0,1291.0,494.0,268.0,254.0,282.0,284.0,336.0,616.0,754.0,615.0,400.0,6261.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYKLER + KNALLERTER,2018,645.0,1267.0,484.0,258.0,247.0,272.0,275.0,326.0,599.0,739.0,603.0,397.0,6112.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,KØRETØJER ,2018,932.0,877.0,801.0,770.0,742.0,738.0,725.0,804.0,893.0,1048.0,933.0,683.0,9946.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LADCYKLER,2018,22.0,24.0,10.0,10.0,7.0,10.0,9.0,10.0,17.0,15.0,12.0,3.0,149.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LASTBILER,2018,10.0,1.0,7.0,2.0,3.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,33.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,PERSONBILER + MC,2018,637.0,667.0,570.0,486.0,485.0,520.0,534.0,652.0,756.0,940.0,841.0,601.0,7689.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2018,244.0,170.0,180.0,242.0,216.0,168.0,158.0,123.0,106.0,77.0,63.0,51.0,1798.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,A: LET TRAFIK I ALT,2020,834.0,798.0,689.0,630.0,590.0,561.0,658.0,759.0,899.0,884.0,851.0,671.0,8824.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,B: TUNG TRAFIK I ALT,2020,39.0,22.0,21.0,18.0,15.0,16.0,7.0,10.0,3.0,2.0,4.0,3.0,160.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYK+KNALL,2020,670.0,1114.0,457.0,257.0,225.0,288.0,283.0,303.0,446.0,629.0,442.0,148.0,5262.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYKLER + KNALLERTER,2020,648.0,1080.0,437.0,244.0,213.0,284.0,273.0,290.0,428.0,615.0,432.0,144.0,5088.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,KØRETØJER ,2020,873.0,820.0,710.0,648.0,605.0,577.0,665.0,769.0,902.0,886.0,855.0,674.0,8984.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LADCYKLER,2020,22.0,34.0,20.0,13.0,12.0,4.0,10.0,13.0,18.0,14.0,10.0,4.0,174.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LASTBILER,2020,11.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,31.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,PERSONBILER + MC,2020,620.0,626.0,508.0,410.0,426.0,424.0,542.0,637.0,785.0,797.0,784.0,616.0,7175.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2020,214.0,172.0,181.0,220.0,164.0,137.0,116.0,122.0,114.0,87.0,67.0,55.0,1649.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,A: LET TRAFIK I ALT,2021,841.0,849.0,778.0,702.0,709.0,717.0,705.0,761.0,846.0,890.0,814.0,778.0,9390.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,B: TUNG TRAFIK I ALT,2021,28.0,21.0,29.0,33.0,31.0,25.0,10.0,5.0,5.0,5.0,5.0,4.0,201.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYK+KNALL,2021,576.0,973.0,442.0,206.0,226.0,243.0,217.0,292.0,429.0,601.0,481.0,347.0,5033.0,12.587600106423729,55.681163602385205
