TS,ÅR,VEJNAVN,KATEGORI,TOTAL,HDT,ÅDT,TUNG %,LADCYKLER %
8,2019,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,11517,15100.0,13500.0,0.0204046192584874,0.0
8,2019,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,1787,2200.0,1800.0,0.0,0.0464465584778959
8,2020,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,9311,12200.0,10900.0,0.018902373536677,0.0
8,2020,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,2271,2800.0,2300.0,0.0,0.0501981505944517
8,2021,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,10273,13500.0,12000.0,0.0166455757811739,0.0
8,2021,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,1417,1700.0,1500.0,0.0,0.0592801693719124
8,2022,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,10941,14300.0,12800.0,0.0170916735216159,0.0
8,2022,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,2308,2800.0,2400.0,0.0,0.0766897746967071
8,2023,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,10406,13600.0,12200.0,0.0213338458581587,0.0
8,2023,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,1900,2300.0,2000.0,0.0,0.0805263157894736
12,2013,FREDERIKSBORGGADE sø.f.  Søtorvet,A+B: KØRETØJER I ALT,4194,5500.0,4900.0,0.1494992846924177,0.0
12,2013,FREDERIKSBORGGADE sø.f.  Søtorvet,CYKLER + KNALLERTER I ALT,16615,20300.0,17100.0,0.0,0.0207643695455913
12,2014,FREDERIKSBORGGADE sø.f.  Søtorvet,A+B: KØRETØJER I ALT,4886,6400.0,5700.0,0.131600491199345,0.0
12,2014,FREDERIKSBORGGADE sø.f.  Søtorvet,CYKLER + KNALLERTER I ALT,16213,19800.0,16700.0,0.0,0.0226978350706223
12,2015,FREDERIKSBORGGADE sø.f.  Søtorvet,A+B: KØRETØJER I ALT,4939,6500.0,5800.0,0.1425389755011135,0.0
12,2015,FREDERIKSBORGGADE sø.f.  Søtorvet,CYKLER + KNALLERTER I ALT,16976,20700.0,17500.0,0.0,0.0252120640904806
12,2018,FREDERIKSBORGGADE sø.f.  Søtorvet,A+B: KØRETØJER I ALT,4146,5400.0,4900.0,0.1521948866377231,0.0
12,2018,FREDERIKSBORGGADE sø.f.  Søtorvet,CYKLER + KNALLERTER I ALT,17085,20800.0,17600.0,0.0,0.031899326894937
12,2019,FREDERIKSBORGGADE sø.f.  Søtorvet,A+B: KØRETØJER I ALT,3637,4800.0,4300.0,0.1402254605444047,0.0
12,2019,FREDERIKSBORGGADE sø.f.  Søtorvet,CYKLER + KNALLERTER I ALT,17219,21000.0,17700.0,0.0,0.0314187815784888
12,2020,FREDERIKSBORGGADE sø.f.  Søtorvet,A+B: KØRETØJER I ALT,3440,4500.0,4000.0,0.1473837209302325,0.0
12,2020,FREDERIKSBORGGADE sø.f.  Søtorvet,CYKLER + KNALLERTER I ALT,16316,19900.0,16800.0,0.0,0.0330350576121598
12,2023,FREDERIKSBORGGADE sø.f.  Søtorvet,A+B: KØRETØJER I ALT,3423,4500.0,4000.0,0.151913526146655,0.0
12,2023,FREDERIKSBORGGADE sø.f.  Søtorvet,CYKLER + KNALLERTER I ALT,17584,21500.0,18100.0,0.0,0.0497611464968152
13,2013,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,12952,17000.0,15200.0,0.0355929586164298,0.0
13,2013,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,5397,6600.0,5600.0,0.0,0.0085232536594404
13,2014,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,12750,16700.0,14900.0,0.0385882352941176,0.0
13,2014,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,3726,4500.0,3800.0,0.0,0.0072463768115942
13,2015,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,13182,17300.0,15400.0,0.0342891822181763,0.0
13,2015,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,4313,5300.0,4400.0,0.0,0.0076512868073266
13,2016,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,12740,16700.0,14900.0,0.0373626373626373,0.0
13,2016,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,3317,4000.0,3400.0,0.0,0.0111546578233343
13,2017,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,12942,17000.0,15100.0,0.0356977283263792,0.0
13,2017,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,3968,4800.0,4100.0,0.0,0.0161290322580645
13,2018,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,11728,15400.0,13700.0,0.0366643929058663,0.0
13,2018,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,5827,7100.0,6000.0,0.0,0.013729191693839
13,2019,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,9282,12200.0,10900.0,0.0499892264598147,0.0
13,2019,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,5806,7100.0,6000.0,0.0,0.0167068549776093
13,2020,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,10465,13700.0,12200.0,0.052269469660774,0.0
13,2020,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,5847,7100.0,6000.0,0.0,0.0205233453052847
13,2021,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,10377,13600.0,12100.0,0.051267225595066,0.0
13,2021,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,5844,7100.0,6000.0,0.0,0.0208761122518822
13,2022,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,10543,13800.0,12300.0,0.0481836289481172,0.0
13,2022,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,5481,6700.0,5600.0,0.0,0.0399562123700054
13,2023,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,A+B: KØRETØJER I ALT,10121,13300.0,11800.0,0.0432763560912953,0.0
13,2023,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,CYKLER + KNALLERTER I ALT,4824,5900.0,5000.0,0.0,0.0400082918739635
14,2013,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,16535,21700.0,19300.0,0.0344118536437859,0.0
14,2013,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,3445,4200.0,3500.0,0.0,0.0101596516690856
14,2014,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,16873,22100.0,19700.0,0.0309369999407337,0.0
14,2014,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,2964,3600.0,3100.0,0.0,0.0077597840755735
14,2015,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,16658,21800.0,19500.0,0.0310361387921719,0.0
14,2015,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,3499,4300.0,3600.0,0.0,0.0082880823092312
14,2016,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,16292,21300.0,19100.0,0.0301374907930272,0.0
14,2016,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,1816,2200.0,1900.0,0.0,0.0093612334801762
14,2017,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,15742,20600.0,18400.0,0.0400838521153601,0.0
14,2017,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,3061,3700.0,3200.0,0.0,0.0153544593270173
14,2018,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,15914,20800.0,18600.0,0.0375769762473294,0.0
14,2018,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,4131,5000.0,4300.0,0.0,0.0154926167998063
14,2019,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,16120,21100.0,18900.0,0.0400124069478908,0.0
14,2019,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,2290,2800.0,2400.0,0.0,0.0253275109170305
14,2020,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,16329,21400.0,19100.0,0.0300692020331924,0.0
14,2020,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,4749,5800.0,4900.0,0.0,0.0282164666245525
14,2021,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,16009,21000.0,18700.0,0.0382284964707352,0.0
14,2021,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,3589,4400.0,3700.0,0.0,0.0281415436054611
14,2022,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,15480,20300.0,18100.0,0.0368217054263565,0.0
14,2022,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,3627,4400.0,3700.0,0.0,0.0402536531568789
14,2023,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,A+B: KØRETØJER I ALT,14623,19200.0,17100.0,0.0356971893592286,0.0
14,2023,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,CYKLER + KNALLERTER I ALT,3402,4200.0,3500.0,0.0,0.0340975896531452
16,2013,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12100,15900.0,14200.0,0.0443801652892562,0.0
16,2013,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,2956,3600.0,3000.0,0.0,0.0077807848443843
16,2014,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12587,16500.0,14700.0,0.0442520060379756,0.0
16,2014,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,3246,4000.0,3300.0,0.0,0.0064695009242144
16,2015,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12358,16200.0,14500.0,0.0512218805631979,0.0
16,2015,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,2744,3300.0,2800.0,0.0,0.0098396501457725
16,2016,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12937,16900.0,15100.0,0.0542629666847027,0.0
16,2016,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,3807,4600.0,3900.0,0.0,0.0057788284738639
16,2017,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,14023,18400.0,16400.0,0.0466376666904371,0.0
16,2017,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,2271,2800.0,2300.0,0.0,0.0176133861734918
16,2018,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12818,16800.0,15000.0,0.0469652051802153,0.0
16,2018,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,3844,4700.0,4000.0,0.0,0.0158688865764828
16,2019,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12932,16900.0,15100.0,0.0446953294154036,0.0
16,2019,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,2744,3300.0,2800.0,0.0,0.0225947521865889
16,2020,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,13420,17600.0,15700.0,0.0375558867362146,0.0
16,2020,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,4623,5600.0,4800.0,0.0,0.0259571706683971
16,2021,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12790,16800.0,15000.0,0.0380766223612197,0.0
16,2021,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,3699,4500.0,3800.0,0.0,0.0362260070289267
16,2022,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12353,16200.0,14500.0,0.0475997733344126,0.0
16,2022,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,3874,4700.0,4000.0,0.0,0.0384615384615384
16,2023,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,A+B: KØRETØJER I ALT,12030,15800.0,14100.0,0.0500415627597672,0.0
16,2023,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,CYKLER + KNALLERTER I ALT,3484,4300.0,3600.0,0.0,0.0309988518943742
17,2013,GOTHERSGADE sø.f. Søtorvet,A+B: KØRETØJER I ALT,3684,4800.0,4300.0,0.0393593919652551,0.0
17,2013,GOTHERSGADE sø.f. Søtorvet,CYKLER + KNALLERTER I ALT,10975,13400.0,11300.0,0.0,0.015125284738041
17,2014,GOTHERSGADE sø.f. Søtorvet,A+B: KØRETØJER I ALT,4421,5800.0,5200.0,0.0384528387242705,0.0
